10
10
3
37	37	37	37	37	37	37	37	37	37	
10
10
8	10	12	
0	0	0	
3.37	3.25	2.85	2.73	2.17	1.91	1.64	1.53	1.33	0.86	
73	143	60	132	81	100	93	119	90	109	
58	83	120	60	112	76	70	148	87	111	
110	75	52	123	140	74	60	111	75	132	
77	67	81	125	125	125	56	116	100	109	
57	99	81	136	112	88	105	54	128	55	
92	118	76	87	148	138	70	118	71	95	
111	54	95	106	111	100	59	112	126	62	
121	99	80	91	90	89	85	101	106	80	
132	80	97	51	89	65	53	124	88	137	
104	134	136	95	84	65	55	120	126	84	
200	200	200	200	200	200	200	200	200	200	
20	20	20	20	20	20	20	20	20	20	
1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	
1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	10	10	10	10	10	
1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	1.685	
1.625	1.625	1.625	1.625	1.625	1.625	1.625	1.625	1.625	1.625	
1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	1.425	
1.365	1.365	1.365	1.365	1.365	1.365	1.365	1.365	1.365	1.365	
1.085	1.085	1.085	1.085	1.085	1.085	1.085	1.085	1.085	1.085	
0.955	0.955	0.955	0.955	0.955	0.955	0.955	0.955	0.955	0.955	
0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	0.82	
0.765	0.765	0.765	0.765	0.765	0.765	0.765	0.765	0.765	0.765	
0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	0.665	
0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.43	
0.8425	0.8425	0.8425	0.8425	0.8425	0.8425	0.8425	0.8425	0.8425	0.8425	
0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	0.8125	
0.7125	0.7125	0.7125	0.7125	0.7125	0.7125	0.7125	0.7125	0.7125	0.7125	
0.6825	0.6825	0.6825	0.6825	0.6825	0.6825	0.6825	0.6825	0.6825	0.6825	
0.5425	0.5425	0.5425	0.5425	0.5425	0.5425	0.5425	0.5425	0.5425	0.5425	
0.4775	0.4775	0.4775	0.4775	0.4775	0.4775	0.4775	0.4775	0.4775	0.4775	
0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	0.41	
0.3825	0.3825	0.3825	0.3825	0.3825	0.3825	0.3825	0.3825	0.3825	0.3825	
0.3325	0.3325	0.3325	0.3325	0.3325	0.3325	0.3325	0.3325	0.3325	0.3325	
0.215	0.215	0.215	0.215	0.215	0.215	0.215	0.215	0.215	0.215	
